List,Words,Type,Example1,Example2,Example3
Dolch Second Grade,always,Dolch,I always try.,She is always kind.,He always helps.
Dolch Second Grade,around,Dolch,Look around.,We walked around town.,He turned around fast.
Dolch Second Grade,because,Dolch,I came because I care.,She cried because she fell.,He stayed because it rained.
Dolch Second Grade,been,Dolch,I have been there.,She has been sick.,It has been fun.
Dolch Second Grade,before,Dolch,Wash before eating.,Before school we ate.,Think before you act.
Dolch Second Grade,best,Dolch,You are the best.,That was my best try.,She is my best friend.
Dolch Second Grade,both,Dolch,Both kids smiled.,Take both papers.,We saw both dogs.
Dolch Second Grade,buy,Dolch,I will buy this.,Buy some milk.,Can you buy that?
Dolch Second Grade,call,Dolch,Call me later.,I will call Dad.,Please call your friend.
Dolch Second Grade,cold,Dolch,It is cold.,The water is cold.,My hands are cold.
Dolch Second Grade,does,Dolch,What does he want?,She does her work.,He does not know.
Dolch Second Grade,don't,Dolch,Don't run.,Don't touch that.,Don't forget your bag.
Dolch Second Grade,fast,Dolch,He ran fast.,She works fast.,That car is fast.
Dolch Second Grade,first,Dolch,I was first.,First we ate.,He won first place.
Dolch Second Grade,five,Dolch,Five kids played.,I saw five birds.,We have five minutes.
Dolch Second Grade,found,Dolch,I found a coin.,She found her toy.,We found the answer.
Dolch Second Grade,gave,Dolch,He gave me candy.,She gave a gift.,They gave help.
Dolch Second Grade,goes,Dolch,He goes to school.,She goes fast.,The dog goes outside.
Dolch Second Grade,green,Dolch,The grass is green.,She wore green.,Green apples taste good.
Dolch Second Grade,its,Dolch,The dog ate its food.,Its tail wagged.,The toy lost its wheels.
Dolch Second Grade,made,Dolch,I made a card.,She made lunch.,They made a mess.
Dolch Second Grade,many,Dolch,Many kids played.,We saw many birds.,She has many crayons.
Dolch Second Grade,off,Dolch,Turn off the light.,Take off your coat.,The light went off.
Dolch Second Grade,or,Dolch,Tea or juice?,Red or blue?,Sit or stand?
Dolch Second Grade,pull,Dolch,Pull the door.,Pull hard.,Pull your chair in.
Dolch Second Grade,read,Dolch,I read a book.,Read this.,We like to read.
Dolch Second Grade,right,Dolch,Turn right.,You are right.,The right answer is here.
Dolch Second Grade,sing,Dolch,She can sing.,We sing in music.,Sing with us.
Dolch Second Grade,sit,Dolch,Sit down.,Sit here.,Please sit quietly.
Dolch Second Grade,sleep,Dolch,I sleep early.,The cat will sleep.,We sleep at home.
Dolch Second Grade,tell,Dolch,Please tell me.,Tell the truth.,Tell your friend.
Dolch Second Grade,their,Dolch,That is their dog.,Their house is big.,Their team won.
Dolch Second Grade,these,Dolch,I like these.,These are soft.,Pick one of these.
Dolch Second Grade,those,Dolch,I want those.,Those are old.,Look at those birds.
Dolch Second Grade,upon,Dolch,Once upon a time...,Rain fell upon us.,The book lay upon the table.
Dolch Second Grade,us,Dolch,Come with us.,Help us please.,Sit by us.
Dolch Second Grade,use,Dolch,Use the pencil.,How do you use it?,Use your time well.
Dolch Second Grade,very,Dolch,I am very happy.,She is very tall.,That is very good.
Dolch Second Grade,wash,Dolch,Wash your hands.,Wash the cup.,I will wash it later.
Dolch Second Grade,which,Dolch,Which one?,Which book is yours?,Tell me which you want.
Dolch Second Grade,why,Dolch,Why is he sad?,Why did it fall?,Why are we waiting?
Dolch Second Grade,wish,Dolch,I wish for sun.,She made a wish.,I wish I could fly.
Dolch Second Grade,work,Dolch,We work hard.,She works at school.,This will work.
Dolch Second Grade,would,Dolch,I would help.,He would go.,She would try.
Dolch Second Grade,write,Dolch,Write your name.,Write it here.,I will write a note.
Dolch Second Grade,your,Dolch,Here is your book.,Your dog is cute.,Your seat is over there.
